Name,Age,Overall,Potential,Team,Main Position
Kylian Mbappe,18,83,94,Monaco,ST
Gianluigi Donnarumma,18,82,94,Milan,GK
Neymar,25,92,94,Paris Saint Germain,LW
Cristiano Ronaldo,32,94,94,Real Madrid,LW
Paulo Dybala,23,88,93,Juventus,CAM
Jan Oblak,24,88,93,Atletico Madrid,GK
Lionel Messi,30,93,93,FC Barcelona,RW
Gabriel Jesus,20,81,92,Manchester City,ST
Marco Asensio,21,84,92,Real Madrid,CAM
Raphael Varane,24,85,92,Real Madrid,CB
Paul Pogba,24,87,92,Manchester United,CM
De Gea,26,90,92,Manchester United,GK
Kevin De Bruyne,26,89,92,Manchester City,CAM
Thibaut Courtois,25,89,92,Chelsea,GK
Luis Suarez,30,92,92,FC Barcelona,ST
Manuel Neuer,31,92,92,FC Bayern Munchen,GK
Leroy Sane,21,82,91,Manchester City,LW
Bernardo Silva,22,84,91,Manchester City,RM
Thomas Lemar,21,83,91,Monaco,LM
Marco Verratti,24,87,91,Paris Saint Germain,CM
Antoine Griezmann,26,88,91,Atletico Madrid,ST
Christian Eriksen,25,87,91,Tottenham Hotspur,CAM
Robert Lewandowski,28,91,91,FC Bayern Munchen,ST
Eden Hazard,26,90,91,Chelsea,LW
Ezequiel Barco,18,72,90,Independiente,LM
Ousmane Dembele,20,83,90,Borussia Dortmund,RM
Youri Tielemans,20,80,90,Monaco,CM
N'Golo Kante,26,87,90,Chelsea,CDM
Keita Balde Diao,22,82,90,Lazio,LW
Anthony Martial,21,82,90,Manchester United,LM
Dele Alli,21,84,90,Tottenham Hotspur,CAM
Andrea Belotti,23,83,90,Torino,ST
Saul,22,82,90,Atletico Madrid,CM
Yannick Carrasco,23,85,90,Atletico Madrid,LM
Harry Kane,23,86,90,Tottenham Hotspur,ST
Timo Horn,24,84,90,FC Koln,GK
Isco,25,86,90,Real Madrid,CM
Romelu Lukaku,24,86,90,Manchester United,ST
Thiago,26,88,90,FC Bayern Munchen,CM
Toni Kroos,27,90,90,Real Madrid,CM
Gonzalo Higuain,29,90,90,Juventus,ST
Sergio Ramos,31,90,90,Real Madrid,CB
