Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,28,94,95,FC Barcelona,RW
Thio Rolim,27,61,93,Figueirense,CAM
James Rodriguez,23,87,93,Real Madrid,CAM
Paul Pogba,22,86,93,Juventus,CM
Neymar,23,88,93,FC Barcelona,LW
Cristiano Ronaldo,30,93,93,Real Madrid,LW
Eden Hazard,24,89,91,Chelsea,LM
Gareth Bale,25,87,91,Real Madrid,RM
Youri Tielemans,18,76,90,RSC Anderlecht,CM
Thibaut Courtois,23,86,90,Chelsea,GK
Toni Kroos,25,87,90,Real Madrid,CM
Luis Suarez,28,90,90,FC Barcelona,ST
Manuel Neuer,29,90,90,FC Bayern Munchen,GK
Arjen Robben,31,90,90,FC Bayern Munchen,RM
