Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,25,94,96,FC Barcelona,CF
Cristiano Ronaldo,27,92,94,Real Madrid,LW
Iniesta,28,90,93,FC Barcelona,LW
Eden Hazard,21,87,92,Chelsea,LW
Wayne Rooney,26,89,92,Manchester United,CF
Mario Gotze,20,84,91,Borussia Dortmund,CAM
Neymar,20,85,91,Santos,LW
David Silva,26,88,91,Manchester City,CAM
Hugo Lloris,25,86,91,Tottenham Hotspur,GK
Manuel Neuer,26,87,91,FC Bayern Munchen,GK
Lucas,19,82,90,Sao Paulo,CAM
Jack Wilshere,20,82,90,Arsenal,CM
Stevan Jovetic,22,83,90,Fiorentina,ST
Alexandre Pato,22,83,90,Milan,ST
Gareth Bale,22,85,90,Tottenham Hotspur,LM
Falcao,26,88,90,Atletico Madrid,ST
Cesc Fabregas,25,87,90,FC Barcelona,CM
Franck Ribery,29,90,90,FC Bayern Munchen,LW
Sergio Aguero,24,87,90,Manchester City,ST
Xavi,32,90,90,FC Barcelona,CM
Arjen Robben,28,88,90,FC Bayern Munchen,RM
Casillas,31,89,90,Real Madrid,GK
