Name,Age,Overall,Potential,Team,Main Position
Cristiano Ronaldo,22,91,94,Manchester United,RW
Alexandre Pato,17,81,93,Milan,ST
Lionel Messi,20,86,93,FC Barcelona,RF
David Villa,25,89,93,Valencia CF,ST
Ronaldo,30,84,93,Milan,ST
Ronaldinho,27,91,93,FC Barcelona,CAM
Gianluigi Buffon,29,91,93,Juventus,GK
Bojan,16,76,92,FC Barcelona,ST
Giovanni dos Santos,18,75,92,FC Barcelona,CAM
David Silva,21,85,92,Valencia CF,LM
Sergio Ramos,21,86,92,Real Madrid,RB
Jesus Navas,21,85,92,Sevilla FC,RW
Figo,34,87,92,Inter,RW
Casillas,26,89,92,Real Madrid,GK
Francesco Totti,30,88,92,Roma,CF
Fabio Cannavaro,33,86,92,Real Madrid,CB
Alessandro Nesta,31,91,92,Milan,CB
Lulinha,17,75,91,Corinthians,CAM
Hatem Ben Arfa,20,77,91,Olympique Lyonnais,CF
Franck Ribery,24,88,91,FC Bayern Munchen,RM
Daniel Alves,24,85,91,Sevilla FC,RB
Kaka,25,90,91,Milan,CAM
Vicente,25,86,91,Valencia CF,LW
Wayne Rooney,21,90,91,Manchester United,CF
Alou Diarra,25,76,91,FC Girondins de Bordeaux,CDM
Petr Cech,25,89,91,Chelsea,GK
Joaquin,25,88,91,Valencia CF,RW
Zlatan Ibrahimovic,25,87,91,Inter,ST
Juan Roman Riquelme,29,87,91,Villareal CF,CAM
John Terry,26,90,91,Chelsea,CB
Andriy Shevchenko,30,82,91,Chelsea,ST
Roy Makaay,32,84,91,Feyenoord,ST
Andrea Pirlo,28,88,91,Milan,CM
Pavel Nedved,34,85,91,Juventus,CAM
Thierry Henry,29,91,91,FC Barcelona,ST
Arturo Vidal,20,68,90,Bayer 04 Leverkusen,LB
Carlos Eduardo,19,79,90,Gremio,ST
Marcelo Moreno,20,77,90,Cruzeiro,ST
Ever Banega,19,71,90,Boca Juniors,CDM
Luka Modric,21,71,90,Dinamo Zagreb,CM
Jose Andres Guardado,20,79,90,Deportivo de La Coruna,LW
Manuel Neuer,21,80,90,FC Schalke 04,GK
Samir Nasri,20,85,90,Olympique de Marseille,CAM
Thiago Silva,22,76,90,Fluminense,CB
Vampeta,33,72,90,Corinthians,CDM
Lukas Podolski,22,83,90,FC Bayern Munchen,CF
Igor Akinfeev,21,85,90,CSKA Moscow,GK
Andrey Arshavin,26,83,90,Zenit,CAM
Carlos Tevez,23,88,90,Manchester United,CF
Dmitriy Sytchev,23,81,90,Lokomotiv Moscow,ST
Diego Cavalieri,24,75,90,Palmeiras,GK
Peter Odemwingie,25,82,90,Lokomotiv Moscow,ST
Julio Baptista,25,80,90,Real Madrid,CAM
Robinho,23,86,90,Real Madrid,LF
Diego,22,88,90,SV Werder Bremen,CAM
Aleksandr Kerzhakov,23,81,90,Sevilla FC,ST
Adriano,25,86,90,Inter,ST
Deco,29,85,90,FC Barcelona,CAM
Fernando Torres,23,87,90,Liverpool,ST
Rafael van der Vaart,24,85,90,Hamburger SV,CAM
Didier Drogba,29,88,90,Chelsea,ST
Rogerio Ceni,34,82,90,Sao Paulo,GK
Quaresma,23,86,90,FC Porto,RW
Steven Gerrard,27,89,90,Liverpool,CM
Puyol,29,88,90,FC Barcelona,CB
Miroslav Klose,29,86,90,FC Bayern Munchen,ST
Ruud van Nistelrooy,30,85,90,Real Madrid,ST
Eto'o,26,89,90,FC Barcelona,ST
Palop,33,85,90,Sevilla FC,GK
Hernan Crespo,31,85,90,Inter,ST
Jaap Stam,34,82,90,Ajax,CB
Rivaldo,35,79,90,AEK Athens,CAM
Patrick Vieira,31,85,90,Inter,CDM
Alessandro del Piero,32,87,90,Juventus,CF
Oliver Kahn,38,87,90,FC Bayern Munchen,GK
Iniesta,23,84,90,FC Barcelona,CM
