Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,24,94,96,FC Barcelona,CF
Cristiano Ronaldo,26,92,94,Real Madrid,LW
Iniesta,27,91,93,FC Barcelona,CAM
Wayne Rooney,25,90,92,Manchester United,ST
Xavi,31,92,92,FC Barcelona,CM
Casillas,30,89,92,Real Madrid,GK
Neymar,19,84,91,Santos,CF
David Silva,25,87,91,Manchester City,CAM
Hugo Lloris,24,85,91,Olympique Lyonnais,GK
Manuel Neuer,25,86,91,FC Bayern Munchen,GK
Pique,24,88,91,FC Barcelona,CB
Nemanja Vidic,29,89,91,Manchester United,CB
Arjen Robben,27,90,91,FC Bayern Munchen,RM
Lucas,18,82,90,Sao Paulo,CAM
Christian Eriksen,19,80,90,Ajax,CAM
Jack Wilshere,19,82,90,Arsenal,CM
Alexandre Pato,21,85,90,Milan,ST
Gareth Bale,21,86,90,Tottenham Hotspur,LM
Cesc Fabregas,24,88,90,FC Barcelona,CAM
Wesley Sneijder,27,88,90,Inter,CAM
