Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,21,90,95,FC Barcelona,RW
Zlatan Ibrahimovic,26,89,94,Inter,ST
Cristiano Ronaldo,23,91,94,Manchester United,RW
Kaka,26,90,93,Milan,CAM
David Villa,26,86,93,Valencia CF,ST
Ronaldinho,28,87,93,Milan,LF
Andrea Pirlo,29,87,93,Milan,CM
Gianluigi Buffon,30,90,93,Juventus,GK
Alexandre Pato,18,79,92,Milan,CF
Bojan,17,79,92,FC Barcelona,ST
Giovanni dos Santos,19,78,92,Tottenham Hotspur,CF
Franck Ribery,25,88,92,FC Bayern Munchen,LM
Sergio Ramos,22,85,92,Real Madrid,RB
Jesus Navas,22,83,92,Sevilla FC,RM
Giorgio Chiellini,23,85,92,Juventus,CB
Rafael van der Vaart,25,86,92,Real Madrid,CAM
Casillas,27,91,92,Real Madrid,GK
Francesco Totti,31,87,92,Roma,CF
Karim Benzema,20,85,91,Olympique Lyonnais,ST
Francesc Fabregas,21,88,91,Arsenal,CM
Hatem Ben Arfa,21,79,91,Olympique de Marseille,LW
Mario Gomez,22,84,91,VfB Stuttgart,ST
Andrey Arshavin,27,84,91,Zenit,CF
Daniel Alves,25,85,91,FC Barcelona,RWB
Wayne Rooney,22,87,91,Manchester United,CF
Petr Cech,26,88,91,Chelsea,GK
Julio Cesar,28,87,91,Inter,GK
Juan Roman Riquelme,30,86,91,Boca Juniors,CAM
Andriy Shevchenko,31,80,91,Milan,ST
Roy Makaay,33,81,91,Feyenoord,ST
Thierry Henry,30,85,91,FC Barcelona,ST
Fabio Cannavaro,34,85,91,Real Madrid,CB
Alessandro Nesta,32,88,91,Milan,CB
Toni Kroos,18,75,90,FC Bayern Munchen,CAM
Breno,18,75,90,FC Bayern Munchen,CB
Luka Modric,22,82,90,Tottenham Hotspur,CM
David Silva,22,85,90,Valencia CF,LM
Manuel Neuer,22,81,90,FC Schalke 04,GK
Samir Nasri,21,82,90,Arsenal,CAM
Thiago Silva,23,75,90,Fluminense,CB
Riccardo Montolivo,23,83,90,Fiorentina,CAM
Yoann Gourcuff,21,75,90,FC Girondins de Bordeaux,CM
Sergio Aguero,20,84,90,Atletico Madrid,CF
Lukas Podolski,23,83,90,FC Bayern Munchen,LF
Klaas Jan Huntelaar,24,84,90,Ajax,ST
Igor Akinfeev,22,85,90,CSKA Moscow,GK
Arda Turan,21,79,90,Galatasaray,LM
Carlos Tevez,24,85,90,Manchester United,CF
Dmitriy Sytchev,24,77,90,Lokomotiv Moscow,ST
Diego Cavalieri,25,75,90,Liverpool,GK
Robinho,24,85,90,Manchester City,LF
Diego,23,87,90,SV Werder Bremen,CAM
Rene Adler,23,86,90,Bayer 04 Leverkusen,GK
Alexsandr Kerzhakov,25,79,90,Zenit,ST
Adriano,26,80,90,Inter,ST
Deco,30,85,90,Chelsea,CAM
Fernando Torres,24,88,90,Liverpool,ST
Didier Drogba,30,87,90,Chelsea,ST
Rogerio Ceni,35,80,90,Sao Paulo,GK
Quaresma,24,85,90,Inter,RW
Steven Gerrard,28,88,90,Liverpool,CM
John Terry,27,88,90,Chelsea,CB
Puyol,30,88,90,FC Barcelona,CB
Miroslav Klose,30,85,90,FC Bayern Munchen,ST
Ruud van Nistelrooy,31,86,90,Real Madrid,ST
Eto'o,27,86,90,FC Barcelona,ST
Tomas Rosicky,27,84,90,Arsenal,CAM
Palop,34,82,90,Sevilla FC,GK
Antonio Cassano,25,85,90,Sampdoria,CF
Hernan Crespo,32,81,90,Inter,ST
David Trezeguet,30,86,90,Juventus,ST
Gennaro Gattuso,30,82,90,Milan,CDM
Clarence Seedorf,32,83,90,Milan,CAM
Alessandro del Piero,33,87,90,Juventus,CF
Christian Vieri,34,76,90,Atalanta,ST
Iniesta,24,86,90,FC Barcelona,CM
