Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,22,90,95,FC Barcelona,RW
Cristiano Ronaldo,24,89,94,Real Madrid,RW
Ronaldinho,29,84,93,Milan,LF
Alexandre Pato,19,84,92,Milan,CF
Bojan,18,79,92,FC Barcelona,CF
Hugo Lloris,22,83,92,Olympique Lyonnais,GK
Franck Ribery,26,88,92,FC Bayern Munchen,LM
Yoann Gourcuff,22,85,92,FC Girondins de Bordeaux,CAM
Jesus Navas,23,83,92,Sevilla FC,RM
Kaka,27,88,92,Real Madrid,CAM
David Villa,27,87,92,Valencia CF,ST
Casillas,28,90,92,Real Madrid,GK
Francesco Totti,32,86,92,Roma,CF
Gianluigi Buffon,31,88,92,Juventus,GK
Keirrison,20,78,91,Benfica,ST
Eden Hazard,18,77,91,Lille,RW
Guilherme,20,77,91,CSKA Moscow,ST
Hernanes,24,80,91,Sao Paulo,CM
Karim Benzema,21,85,91,Real Madrid,ST
Francesc Fabregas,22,87,91,Arsenal,CM
Sergio Ramos,23,85,91,Real Madrid,CB
Mauro Matias Zarate,22,84,91,Lazio,RF
Andrey Arshavin,28,85,91,Arsenal,CF
Vagner Love,25,80,91,Palmeiras,ST
Wayne Rooney,23,87,91,Manchester United,CF
Fernando Torres,25,88,91,Liverpool,ST
Zlatan Ibrahimovic,27,88,91,FC Barcelona,ST
Ronaldo,32,81,91,Corinthians,ST
Juan Roman Riquelme,31,85,91,Boca Juniors,CAM
Steven Gerrard,29,88,91,Liverpool,CAM
Thierry Henry,31,85,91,FC Barcelona,LF
Jack Wilshere,17,73,90,Arsenal,CAM
Alan Dzagoev,19,78,90,CSKA Moscow,CAM
Franco Matias di Santo,20,72,90,Blackburn Rovers,ST
Luka Modric,23,82,90,Tottenham Hotspur,CAM
David Silva,23,86,90,Valencia CF,LM
Manuel Neuer,23,83,90,FC Schalke 04,GK
Samir Nasri,22,83,90,Arsenal,CAM
Thiago Silva,24,79,90,Milan,CB
Stephane Sessegnon,25,83,90,Paris Saint Germain,CAM
Riccardo Montolivo,24,81,90,Fiorentina,CM
Guillaume Hoarau,25,78,90,Paris Saint Germain,ST
Yuriy Zhirkov,25,83,90,Chelsea,LM
Sergio Aguero,21,84,90,Atletico Madrid,CF
Mario Gomez,23,85,90,FC Bayern Munchen,ST
Igor Akinfeev,23,85,90,CSKA Moscow,GK
Dani Alves,26,86,90,FC Barcelona,RWB
Carlos Tevez,25,85,90,Manchester City,CF
Nemanja Vidic,27,88,90,Manchester United,CB
Dmitriy Sytchev,25,75,90,Lokomotiv Moscow,ST
Giorgio Chiellini,24,86,90,Juventus,CB
Diego Cavalieri,26,75,90,Liverpool,GK
Peter Odemwingie,27,76,90,Lokomotiv Moscow,ST
Robinho,25,85,90,Manchester City,LW
Diego,24,87,90,Juventus,CAM
Alexsandr Kerzhakov,26,80,90,Dinamo Moscow,ST
Adriano,27,80,90,Flamengo,ST
Deco,31,82,90,Chelsea,CM
Petr Cech,27,85,90,Chelsea,GK
Julio Cesar,29,89,90,Inter,GK
Rafael van der Vaart,26,83,90,Real Madrid,CAM
Didier Drogba,31,85,90,Chelsea,ST
Rogerio Ceni,36,77,90,Sao Paulo,GK
Valeron,34,80,90,Deportivo de La Coruna,CAM
John Terry,28,87,90,Chelsea,CB
Puyol,31,88,90,FC Barcelona,CB
Xavi,29,87,90,FC Barcelona,CM
Ruud van Nistelrooy,32,82,90,Real Madrid,ST
Eto'o,28,86,90,Inter,ST
Palop,35,82,90,Sevilla FC,GK
Robin van Persie,25,85,90,Arsenal,CF
Hernan Crespo,33,80,90,Genoa,ST
David Trezeguet,31,82,90,Juventus,ST
Fabio Cannavaro,35,83,90,Juventus,CB
Alessandro del Piero,34,86,90,Juventus,CF
Iniesta,25,87,90,FC Barcelona,CAM
