Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,26,94,97,FC Barcelona,CF
Cristiano Ronaldo,28,92,95,Real Madrid,LW
Iniesta,29,89,93,FC Barcelona,CM
Mario Gotze,21,85,92,FC Bayern Munchen,CAM
Falcao,27,90,92,AS Monaco,ST
Neymar,21,84,91,FC Barcelona,ST
Gareth Bale,23,87,91,Tottenham Hotspur,CF
Manuel Neuer,27,86,91,FC Bayern Munchen,GK
Pique,26,86,91,FC Barcelona,CB
Zakaria Bakkali,17,73,90,PSV,RW
Lucas,20,82,90,Paris Saint Germain,RM
Mario Balotelli,22,84,90,Milan,ST
Eden Hazard,22,85,90,Chelsea,LM
Stevan Jovetic,23,84,90,Manchester City,ST
Cesc Fabregas,26,86,90,FC Barcelona,CM
Franck Ribery,30,90,90,FC Bayern Munchen,LM
