Name,Age,Overall,Potential,Team,Main Position
Neymar,24,92,95,FC Barcelona,LW
Paul Pogba,23,88,94,Manchester United,CM
Cristiano Ronaldo,31,94,94,Real Madrid,LW
Thibaut Courtois,24,89,93,Chelsea,GK
Lionel Messi,29,93,93,FC Barcelona,RW
Paulo Dybala,22,85,92,Juventus,ST
James Rodriguez,24,87,92,Real Madrid,CAM
Antoine Griezmann,25,88,92,Atletico Madrid,ST
De Gea,25,90,92,Manchester United,GK
Luis Suarez,29,92,92,FC Barcelona,ST
Manuel Neuer,30,92,92,FC Bayern Munchen,GK
Raphael Varane,23,84,91,Real Madrid,CB
Jan Oblak,23,87,91,Atletico Madrid,GK
Kevin De Bruyne,25,88,91,Manchester City,CAM
Ousmane Dembele,19,77,90,Borussia Dortmund,RM
Renato Sanches,18,78,90,FC Bayern Munchen,CM
Eric Bailly,22,82,90,Manchester United,CB
Andre Gomes,22,84,90,FC Barcelona,CM
Anthony Martial,20,82,90,Manchester United,LM
Dele Alli,20,80,90,Tottenham Hotspur,CAM
Harry Kane,22,84,90,Tottenham Hotspur,ST
Marco Verratti,23,85,90,Paris Saint Germain,CM
David Alaba,24,87,90,FC Bayern Munchen,LB
Romelu Lukaku,23,84,90,Everton,ST
Robert Lewandowski,27,90,90,FC Bayern Munchen,ST
Jerome Boateng,27,90,90,FC Bayern Munchen,CB
Eden Hazard,25,88,90,Chelsea,LM
Toni Kroos,26,88,90,Real Madrid,CM
Mesut Ozil,27,89,90,Arsenal,CAM
Gareth Bale,26,90,90,Real Madrid,RW
Zlatan Ibrahimovic,34,90,90,Manchester United,ST
