Name,Age,Overall,Potential,Team,Main Position
Kylian Mbappe,19,87,95,Paris Saint Germain,RW
Paulo Dybala,24,89,94,Juventus,CAM
Lionel Messi,31,94,94,FC Barcelona,CF
Cristiano Ronaldo,33,94,94,Juventus,ST
Gianluigi Donnarumma,19,82,93,Milan,GK
Leroy Sane,22,86,93,Manchester City,LW
Marco Asensio,22,85,93,Real Madrid,LW
Jan Oblak,25,90,93,Atletico Madrid,GK
De Gea,27,91,93,Manchester United,GK
Neymar,26,92,93,Paris Saint Germain,LW
Vinicius Junior,17,77,92,Real Madrid,LW
Milan Skriniar,23,85,92,Inter,CB
Gabriel Jesus,21,83,92,Manchester City,ST
Samuel Umtiti,24,87,92,FC Barcelona,CB
Harry Kane,24,89,92,Tottenham Hotspur,ST
Raphael Varane,25,86,92,Real Madrid,CB
Isco,26,89,92,Real Madrid,CAM
Kevin De Bruyne,27,91,92,Manchester City,CAM
Marc-Andre ter Stegen,26,89,92,FC Barcelona,GK
Matthijs de Ligt,18,80,91,Ajax,CB
Ousmane Dembele,21,82,91,FC Barcelona,RW
Saul,23,85,91,Atletico Madrid,CM
Kepa,23,83,91,Chelsea,GK
Casemiro,26,88,91,Real Madrid,CDM
Paul Pogba,25,88,91,Manchester United,CM
Thibaut Courtois,26,90,91,Real Madrid,GK
Christian Eriksen,26,88,91,Tottenham Hotspur,CAM
Eden Hazard,27,91,91,Chelsea,LW
Luka Modric,32,91,91,Real Madrid,CM
Luis Suarez,31,91,91,FC Barcelona,ST
Sergio Ramos,32,91,91,Real Madrid,CB
Arthur,21,82,90,FC Barcelona,CM
Sergej Milinkovic-Savic,23,85,90,Lazio,CM
Malcom,21,83,90,FC Barcelona,RW
Bernardo Silva,23,84,90,Manchester City,RW
N'Golo Kante,27,89,90,Chelsea,CDM
Alisson,25,85,90,Liverpool,GK
Niklas Sule,22,84,90,FC Bayern Munchen,CB
Dele Alli,22,84,90,Tottenham Hotspur,CAM
Ederson,24,86,90,Manchester City,GK
Mauro Icardi,25,87,90,Inter,ST
Kalidou Koulibaly,27,87,90,Napoli,CB
Antoine Griezmann,27,89,90,Atletico Madrid,ST
Robert Lewandowski,29,90,90,FC Bayern Munchen,ST
Toni Kroos,28,90,90,Real Madrid,CM
Diego Godin,32,90,90,Atletico Madrid,CB
Manuel Neuer,32,90,90,FC Bayern Munchen,GK
