Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,23,90,95,FC Barcelona,RW
Cristiano Ronaldo,25,89,94,Real Madrid,RW
Ronaldinho,30,83,93,Milan,LF
Hugo Lloris,23,84,92,Olympique Lyonnais,GK
Jesus Navas,24,84,92,Sevilla FC,RM
Kaka,28,86,92,Real Madrid,CAM
David Villa,28,88,92,FC Barcelona,ST
Casillas,29,89,92,Real Madrid,GK
Eden Hazard,19,81,91,Lille,RW
Aly Cissokho,22,78,91,Olympique Lyonnais,LB
Alexandre Pato,20,83,91,Milan,CF
Francesc Fabregas,23,86,91,Arsenal,CM
Franck Ribery,27,86,91,FC Bayern Munchen,LM
Sergio Ramos,24,85,91,Real Madrid,RB
Igor Akinfeev,24,84,91,CSKA Moscow,GK
Wayne Rooney,24,88,91,Manchester United,ST
Fernando Torres,26,86,91,Liverpool,ST
Zlatan Ibrahimovic,28,85,91,Milan,ST
Ronaldo,33,77,91,Corinthians,ST
Steven Gerrard,30,86,91,Liverpool,CAM
Franco di Santo,21,74,90,Wigan,ST
Sotiris Nanis,20,77,90,Panathinaikos,CAM
Luka Modric,24,83,90,Tottenham Hotspur,CAM
David Silva,24,85,90,Manchester City,CAM
Manuel Neuer,24,85,90,FC Schalke 04,GK
Samir Nasri,23,84,90,Arsenal,CAM
Thiago Silva,25,83,90,Milan,CB
Sergio Aguero,22,84,90,Atletico Madrid,CF
Andrey Arshavin,29,86,90,Arsenal,LW
Dani Alves,27,84,90,FC Barcelona,RWB
Carlos Tevez,26,86,90,Manchester City,CF
Nemanja Vidic,28,87,90,Manchester United,CB
Giorgio Chiellini,25,85,90,Juventus,CB
Diego,25,82,90,VfL Wolfsburg,CAM
Deco,32,79,90,Fluminense,CM
Petr Cech,28,84,90,Chelsea,GK
Rafael van der Vaart,27,84,90,Tottenham Hotspur,CAM
Didier Drogba,32,88,90,Chelsea,ST
Valeron,35,77,90,Deportivo de La Coruna,CAM
John Terry,29,86,90,Chelsea,CB
Puyol,32,87,90,FC Barcelona,CB
Xavi,30,87,90,FC Barcelona,CM
Eto'o,29,84,90,Inter,ST
Palop,36,83,90,Sevilla FC,GK
Robin van Persie,26,85,90,Arsenal,CF
Francesco Totti,33,82,90,Roma,CF
Gianluigi Buffon,32,86,90,Juventus,GK
Alessandro del Piero,35,80,90,Juventus,CF
Iniesta,26,87,90,FC Barcelona,CAM
