Name,Age,Overall,Potential,Team,Main Position
Lionel Messi,27,93,95,FC Barcelona,CF
James Rodriguez,22,86,92,Real Madrid,CAM
Cristiano Ronaldo,29,92,92,Real Madrid,LW
Mario Gotze,22,85,91,FC Bayern Munchen,CAM
Neymar,22,86,91,FC Barcelona,LW
Luis Suarez,27,89,91,FC Barcelona,ST
Gareth Bale,24,87,91,Real Madrid,RM
Thibaut Courtois,22,86,90,Chelsea,GK
Eden Hazard,23,88,90,Chelsea,LM
Manuel Neuer,28,90,90,FC Bayern Munchen,GK
Zlatan Ibrahimovic,32,90,90,Paris Saint Germain,ST
Arjen Robben,30,90,90,FC Bayern Munchen,RM
